Clustered biome cluster 1: Forest + Plains + Cherry Grove, center at (105.3, -18.7), total cell count 23321
Clustered biome cluster 2: Forest + Plains + Cherry Grove, center at (352.0, -28.0), total cell count 1
Clustered biome cluster 3: Forest + Plains + Cherry Grove, center at (356.0, -28.0), total cell count 1
Clustered biome cluster 4: Forest + Plains + Cherry Grove, center at (344.0, -24.0), total cell count 1
Clustered biome cluster 5: Forest + Plains + Cherry Grove, center at (348.0, -24.0), total cell count 1
Clustered biome cluster 6: Forest + Plains + Cherry Grove, center at (352.0, -24.0), total cell count 1
Clustered biome cluster 7: Forest + Plains + Cherry Grove, center at (356.0, -24.0), total cell count 1
Clustered biome cluster 8: Forest + Plains + Cherry Grove, center at (360.0, -24.0), total cell count 1
Clustered biome cluster 9: Forest + Plains + Cherry Grove, center at (340.0, -20.0), total cell count 1
Clustered biome cluster 10: Forest + Plains + Cherry Grove, center at (344.0, -20.0), total cell count 1
Clustered biome cluster 11: Forest + Plains + Cherry Grove, center at (348.0, -20.0), total cell count 1
Clustered biome cluster 12: Forest + Plains + Cherry Grove, center at (352.0, -20.0), total cell count 1
Clustered biome cluster 13: Forest + Plains + Cherry Grove, center at (356.0, -20.0), total cell count 1
Clustered biome cluster 14: Forest + Plains + Cherry Grove, center at (360.0, -20.0), total cell count 1
Clustered biome cluster 15: Forest + Plains + Cherry Grove, center at (336.0, -16.0), total cell count 1
Clustered biome cluster 16: Forest + Plains + Cherry Grove, center at (340.0, -16.0), total cell count 1
Clustered biome cluster 17: Forest + Plains + Cherry Grove, center at (344.0, -16.0), total cell count 1
Clustered biome cluster 18: Forest + Plains + Cherry Grove, center at (348.0, -16.0), total cell count 1
Clustered biome cluster 19: Forest + Plains + Cherry Grove, center at (352.0, -16.0), total cell count 1
Clustered biome cluster 20: Forest + Plains + Cherry Grove, center at (356.0, -16.0), total cell count 1
Clustered biome cluster 21: Forest + Plains + Cherry Grove, center at (360.0, -16.0), total cell count 1
Clustered biome cluster 22: Forest + Plains + Cherry Grove, center at (364.0, -16.0), total cell count 1
Clustered biome cluster 23: Forest + Plains + Cherry Grove, center at (324.0, -12.0), total cell count 1
Clustered biome cluster 24: Forest + Plains + Cherry Grove, center at (328.0, -12.0), total cell count 1
Clustered biome cluster 25: Forest + Plains + Cherry Grove, center at (332.0, -12.0), total cell count 1
Clustered biome cluster 26: Forest + Plains + Cherry Grove, center at (336.0, -12.0), total cell count 1
Clustered biome cluster 27: Forest + Plains + Cherry Grove, center at (340.0, -12.0), total cell count 1
Clustered biome cluster 28: Forest + Plains + Cherry Grove, center at (344.0, -12.0), total cell count 1
Clustered biome cluster 29: Forest + Plains + Cherry Grove, center at (348.0, -12.0), total cell count 1
Clustered biome cluster 30: Forest + Plains + Cherry Grove, center at (352.0, -12.0), total cell count 1
Clustered biome cluster 31: Forest + Plains + Cherry Grove, center at (356.0, -12.0), total cell count 1
Clustered biome cluster 32: Forest + Plains + Cherry Grove, center at (324.0, -8.0), total cell count 1
Clustered biome cluster 33: Forest + Plains + Cherry Grove, center at (328.0, -8.0), total cell count 1
Clustered biome cluster 34: Forest + Plains + Cherry Grove, center at (332.0, -8.0), total cell count 1
Clustered biome cluster 35: Forest + Plains + Cherry Grove, center at (336.0, -8.0), total cell count 1
Clustered biome cluster 36: Forest + Plains + Cherry Grove, center at (324.0, -4.0), total cell count 1
Clustered biome cluster 37: Forest + Plains + Cherry Grove, center at (320.0, 0.0), total cell count 1
Clustered biome cluster 38: Forest + Plains + Cherry Grove, center at (324.0, 0.0), total cell count 1
Clustered biome cluster 39: Forest + Plains + Cherry Grove, center at (320.0, 4.0), total cell count 1
